Category: All categories

Week,canoeing: (United Kingdom)
2021-04-11,30
2021-04-18,36
2021-04-25,35
2021-05-02,30
2021-05-09,28
2021-05-16,31
2021-05-23,35
2021-05-30,79
2021-06-06,56
2021-06-13,42
2021-06-20,55
2021-06-27,58
2021-07-04,53
2021-07-11,67
2021-07-18,82
2021-07-25,100
2021-08-01,83
2021-08-08,66
2021-08-15,59
2021-08-22,61
2021-08-29,46
2021-09-05,34
2021-09-12,27
2021-09-19,26
2021-09-26,20
2021-10-03,19
2021-10-10,23
2021-10-17,18
2021-10-24,16
2021-10-31,13
2021-11-07,13
2021-11-14,15
2021-11-21,12
2021-11-28,14
2021-12-05,14
2021-12-12,11
2021-12-19,5
2021-12-26,12
2022-01-02,13
2022-01-09,17
2022-01-16,23
2022-01-23,17
2022-01-30,21
2022-02-06,16
2022-02-13,12
2022-02-20,15
2022-02-27,14
2022-03-06,20
2022-03-13,22
2022-03-20,20
2022-03-27,22
2022-04-03,0
